# PropHunt safehouse spawn points. Format: code|x|y|z|yaw
# Authored with the phspawn in-game editor. Copy to Assets/spawns.txt to bake in.
storageunit|-8.159|1.065|105.034|31.0
storageunit|-6.615|1.065|105.690|0.7
storageunit|-8.204|1.065|107.468|91.2
storageunit|-8.185|1.065|108.393|91.2
storageunit|-8.145|1.065|110.342|91.2
storageunit|-8.111|1.065|111.969|91.2
storageunit|-8.088|1.065|113.104|91.2
storageunit|-6.043|1.065|112.984|181.7
storageunit|-4.526|1.065|112.843|220.2
storageunit|-4.479|1.065|111.199|268.6
storageunit|-4.446|1.065|109.876|268.6
storageunit|-5.143|1.065|108.353|271.2
storageunit|-4.929|1.065|106.870|270.4
storageunit|-6.327|1.065|108.902|179.2
sweatshop|-64.125|0.715|139.989|134.3
sweatshop|-63.812|0.715|138.407|274.1
sweatshop|-63.205|0.715|135.606|272.8
sweatshop|-63.222|0.715|136.995|272.8
sweatshop|-60.972|0.715|136.354|321.5
sweatshop|-61.259|0.715|140.231|72.7
sweatshop|-59.449|0.715|139.860|1.7
sweatshop|-56.998|0.715|140.583|242.3
sweatshop|-56.982|0.715|138.728|281.0
sweatshop|-58.724|0.715|138.673|281.5
sweatshop|-62.074|0.715|138.203|322.1
sweatshop|-62.218|0.715|140.553|1.2
seweroffice|47.754|-8.035|73.255|0.1
seweroffice|49.154|-8.035|73.252|0.1
seweroffice|52.039|-8.035|73.545|1.7
seweroffice|53.542|-8.035|73.636|15.2
seweroffice|53.399|-8.035|71.965|93.1
seweroffice|54.341|-8.035|69.769|309.2
seweroffice|51.846|-8.035|70.340|180.3
seweroffice|50.075|-8.035|70.578|179.6
seweroffice|48.204|-8.035|68.103|9.5
seweroffice|48.100|-8.035|71.868|89.0
seweroffice|51.039|-8.035|71.972|223.4
bungalow|-170.752|-2.735|110.089|359.4
bungalow|-171.950|-2.735|110.077|359.4
bungalow|-172.900|-2.735|110.068|359.4
bungalow|-174.115|-2.735|110.056|359.4
bungalow|-175.301|-2.735|110.044|359.4
bungalow|-172.932|-2.735|114.475|182.9
bungalow|-174.558|-2.735|118.441|270.9
bungalow|-174.237|-2.735|119.961|334.8
bungalow|-171.118|-2.735|120.396|85.2
bungalow|-172.826|-2.735|120.892|181.4
bungalow|-169.310|-2.735|116.023|2.0
bungalow|-168.403|-2.735|115.992|2.0
bungalow|-167.276|-2.735|115.953|2.0
bungalow|-166.324|-2.735|115.920|2.0
bungalow|-165.122|-2.735|115.879|2.0
bungalow|-164.240|-2.735|119.521|359.4
bungalow|-165.918|-2.735|119.671|359.4
bungalow|-166.839|-2.735|120.866|89.5
bungalow|-168.021|-2.735|121.044|181.4
bungalow|-169.368|-2.735|121.052|173.0
bungalow|-164.385|-2.735|118.354|89.2
barn|192.668|4.915|-8.535|176.4
barn|192.711|4.915|-13.198|3.3
barn|192.519|4.915|-10.960|268.9
barn|193.689|4.915|-11.948|178.8
barn|195.071|4.915|-11.920|178.8
barn|196.256|4.915|-12.929|267.8
barn|195.815|4.915|-9.116|176.8
barn|197.253|4.915|-9.004|176.8
barn|198.884|4.915|-8.848|176.8
barn|197.263|4.915|-13.356|1.0
barn|198.439|4.915|-13.486|1.0
barn|199.589|4.915|-13.507|1.0
barn|199.900|1.065|-4.329|237.3
barn|194.881|1.065|-4.958|189.9
barn|191.072|1.065|-5.423|167.9
barn|186.238|1.065|-5.511|157.1
barn|183.402|1.065|-7.271|141.7
barn|184.515|1.065|-16.466|17.0
barn|187.610|1.065|-16.547|356.0
barn|190.896|1.065|-16.316|356.0
barn|193.588|1.065|-16.203|356.0
barn|196.575|1.065|-15.993|356.0
barn|199.378|1.065|-14.970|320.5
barn|200.060|1.065|-13.115|279.4
barn|187.977|1.065|-11.034|269.7
barn|194.595|1.065|-10.743|82.7
barn|200.047|1.065|-7.559|183.2
barn|183.991|1.065|-11.007|271.2
dockswarehouse|-77.113|-1.255|-53.537|288.6
dockswarehouse|-80.726|1.795|-47.133|325.0
dockswarehouse|-83.311|1.795|-43.518|241.7
dockswarehouse|-85.444|1.795|-38.804|176.5
dockswarehouse|-87.664|1.795|-39.230|149.3
dockswarehouse|-86.349|1.795|-41.699|161.9
dockswarehouse|-88.815|1.795|-40.920|332.2
dockswarehouse|-89.877|1.795|-41.479|332.2
dockswarehouse|-91.419|1.795|-40.979|57.1
dockswarehouse|-89.610|1.795|-43.341|153.9
dockswarehouse|-94.732|1.795|-42.956|179.7
dockswarehouse|-96.768|1.795|-43.959|133.6
dockswarehouse|-95.122|1.795|-46.688|91.4
dockswarehouse|-93.479|1.795|-50.089|67.9
dockswarehouse|-91.219|1.795|-53.154|56.0
dockswarehouse|-89.297|0.145|-56.976|140.9
dockswarehouse|-87.379|-1.255|-59.547|13.8
dockswarehouse|-85.418|-1.255|-58.534|337.0
dockswarehouse|-91.308|-1.255|-45.997|44.7
dockswarehouse|-91.371|-1.255|-44.193|326.0
dockswarehouse|-90.443|-1.255|-43.567|326.0
dockswarehouse|-88.969|-1.255|-42.660|326.0
dockswarehouse|-88.007|-1.255|-42.039|326.0
dockswarehouse|-86.495|-1.255|-37.547|159.9
dockswarehouse|-88.133|-1.255|-38.803|147.4
dockswarehouse|-89.256|-1.255|-39.350|147.4
dockswarehouse|-90.741|-1.255|-40.081|147.4
dockswarehouse|-92.187|-1.255|-41.006|147.4
dockswarehouse|-93.273|-1.255|-41.701|147.4
dockswarehouse|-94.640|-1.255|-42.576|147.4
dockswarehouse|-96.118|-1.255|-43.522|147.4
manor|172.315|11.000|-73.707|297.1
manor|172.427|11.000|-71.202|263.2
manor|172.503|10.990|-69.096|263.2
manor|172.462|10.990|-66.527|263.2
manor|168.512|10.990|-65.764|185.2
manor|166.889|10.990|-66.160|185.2
manor|159.304|10.990|-66.963|168.2
manor|155.757|11.000|-66.736|144.5
manor|154.265|11.000|-68.608|89.8
manor|154.556|11.000|-71.677|89.8
manor|156.958|10.990|-74.690|33.0
manor|160.895|10.990|-74.721|0.9
manor|159.460|10.990|-69.615|88.5
manor|168.539|10.990|-69.165|267.2
manor|175.446|11.046|-61.412|187.7
manor|168.026|11.465|-49.909|182.3
manor|158.968|11.465|-49.833|176.8
manor|155.120|11.115|-50.141|184.9
manor|152.189|11.008|-53.004|84.9
manor|152.050|10.996|-60.981|91.5
manor|155.006|11.115|-64.136|360.0
manor|159.051|11.115|-64.105|353.9
manor|168.066|11.083|-63.976|7.2
manor|172.197|11.032|-64.197|357.4
manor|175.187|10.964|-52.984|268.7
manor|166.441|10.985|-44.689|350.0
manor|161.973|10.978|-44.845|342.3
manor|157.171|11.067|-46.209|333.9
manor|149.869|11.097|-51.514|305.1
